Neighborhood,Sublocality,City,Property Type,Price (INR),Area (sq ft),Bedrooms,Price per sq ft,Monthly Rent (INR),Schools Nearby,Hospitals Nearby,Public Transport,Amenities,Community Sentiment,Crime Rate,Professions,General Income (INR)
Tathawade,Near JSPM College,Pune,Apartment,7500000,1200,3,6250,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Pharmacist, Accountant)",50000-120000
Tathawade,Dange Chowk,Pune,Apartment,7800000,1250,3,6240,22000,6,4,Moderate,Gym,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor)",60000-140000
Ravet,Akurdi Railway Station Area,Pune,Apartment,6800000,1000,2,6800,17000,4,3,Moderate,Gym,Moderate,Moderate,"(Engineer, Marketing Executive, Architect)",60000-150000
Ravet,Dehu Road,Pune,Apartment,7000000,1100,2,6364,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Sales Manager, Software Developer, Consultant)",70000-180000
Pimple Saudagar,Kunal Icon Road,Pune,Apartment,9200000,1250,3,7360,27000,6,5,High,Gated Community,High,Low,"(IT Manager, Financial Analyst, Professor)",80000-200000
Pimple Saudagar,Kate Wasti,Pune,Apartment,8900000,1200,3,7417,26000,5,4,High,Gated Society,High,Low,"(Retail Manager, HR Executive, Civil Engineer)",70000-180000
Vishrantwadi,Airport Road,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Hadapsar,Magarpatta Road,Pune,Apartment,8700000,1200,3,7250,25000,6,5,High,Gym,High,Low,"(Doctor, Consultant, Real Estate Agent)",100000-500000
Magarpatta,South Gate,Pune,Apartment,12000000,1400,3,8571,38000,7,6,Very High,Clubhouse,Very High,Low,"(Corporate Executive, IT Director, Business Owner)",200000-600000
Kharadi,EON IT Park,Pune,Apartment,11500000,1400,3,8214,35000,7,6,Very High,Gated Community,Very High,Low,"(Software Engineer, Investment Banker, Startup Founder)",150000-500000
Wagholi,Raisoni College Area,Pune,Apartment,5400000,950,2,5684,14000,3,2,Moderate,Gated Society,Moderate,Moderate,"(Students, Software Trainee, Freelancer)",30000-100000
Wagholi,Bakori Road,Pune,Apartment,6200000,1050,2,5905,16000,4,3,Moderate,Security,Moderate,Moderate,"(College Lecturer, Sales Executive, Graphic Designer)",50000-120000
Dhanori,DY Patil College Road,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Mundhwa,Keshav Nagar,Pune,Apartment,10500000,1400,3,7500,30000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur)",100000-300000
Vadgaon Sheri,Near Nagar Road,Pune,Apartment,9700000,1300,3,7462,28000,6,5,High,Gated Security,High,Low,"(IT Professional, Financial Analyst, Marketing Manager)",100000-300000
Kalyani Nagar,Gold Adlabs Area,Pune,Apartment,12500000,1500,3,8333,40000,8,6,Very High,Gym,Very High,Low,"(Investment Banker, Senior Consultant, Business Owner)",200000-600000
Bavdhan,Chandani Chowk,Pune,Apartment,9800000,1400,3,7000,25000,6,5,High,Security,High,Low,"(Software Engineer, Consultant, Business Analyst)",100000-250000
Undri,Near Bishop’s School,Pune,Apartment,7200000,1100,3,6545,18000,5,4,Moderate,Gym,Moderate,Moderate,"(Professor, Architect, Marketing Professional)",60000-200000
Koregaon Park,Lane 5,Pune,Apartment,19500000,1700,3,11471,55000,9,8,Very High,Gated Security,Very High,Low,"(Entrepreneur, Consultant, Investment Banker)",250000-800000
Koregaon Park,Lane 7,Pune,Penthouse,35000000,3000,4,11667,120000,10,9,Very High,Swimming Pool,Very High,Low,"(CEO, Business Owner, Investor)",400000-1000000
Viman Nagar,Near Symbiosis College,Pune,Apartment,16000000,1500,3,10667,45000,8,7,Very High,Gym,Very High,Low,"(Corporate Executive, IT Professional, Marketing Director)",200000-600000
Viman Nagar,Town Square,Pune,Apartment,14000000,1300,3,10769,38000,7,6,Very High,Parking,Very High,Low,"(Software Engineer, Analyst, Business Consultant)",150000-450000
Kharadi,World Trade Center Area,Pune,Apartment,12500000,1400,3,8929,35000,7,6,Very High,Clubhouse,Very High,Low,"(Software Developer, Investment Banker, Startup Founder)",150000-500000
Kharadi,Riverdale,Pune,Apartment,9800000,1300,3,7538,28000,6,5,High,Gated Society,High,Low,"(Data Scientist, Financial Analyst, Sales Executive)",100000-350000
Hinjewadi,Phase 1,Pune,Apartment,11500000,1400,3,8214,32000,7,6,High,Gym,High,Low,"(IT Consultant, Business Analyst, Software Engineer)",80000-250000
Hinjewadi,Phase 3,Pune,Villa,25000000,2800,4,8929,65000,9,7,High,Swimming Pool,High,Low,"(Tech Lead, Senior Product Manager, IT Director)",200000-500000
Baner,Pancard Club Road,Pune,Apartment,15000000,1500,3,10000,40000,7,6,High,Clubhouse,High,Low,"(Senior Engineer, Doctor, Lawyer)",120000-400000
Baner,Veerbhadra Nagar,Pune,Apartment,9800000,1300,2,7538,28000,6,5,High,Gated Security,High,Low,"(Marketing Executive, Data Analyst, IT Professional)",100000-300000
Balewadi,Balewadi High Street,Pune,Penthouse,17000000,2400,4,7083,90000,9,7,Very High,Swimming Pool,Very High,Low,"(Startup Founder, Senior Executive, Investor)",300000+
Aundh,Baner Road,Pune,Apartment,13500000,1450,3,9310,41000,7,6,High,Gated Security,High,Low,"(Doctor, Lawyer, Business Owner)",120000-400000
Aundh,Seasons Road,Pune,Apartment,14000000,1550,3,9032,42000,8,6,High,Clubhouse,High,Low,"(Bank Manager, Consultant, Architect)",120000-350000
Wakad,Vishal Nagar,Pune,Apartment,9800000,1300,3,7538,28000,6,5,High,Gated Society,High,Low,"(Software Engineer, Financial Analyst, Architect)",100000-300000
Wakad,Datta Mandir Road,Pune,Apartment,9400000,1250,2,7520,25000,5,4,High,Security,High,Low,"(Sales Executive, HR Professional, Business Consultant)",80000-250000
Tathawade,Near JSPM College,Pune,Apartment,7700000,1200,3,6417,22000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Pharmacist, Accountant)",50000-120000
Tathawade,Krishna Chowk,Pune,Apartment,8000000,1300,3,6154,24000,6,4,Moderate,Gym,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor)",60000-140000
Ravet,Sentosa Resort Area,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Gym,Moderate,Moderate,"(Engineer, Marketing Executive, Architect)",60000-150000
Ravet,Dehu Road,Pune,Apartment,7000000,1050,2,6667,17000,4,3,Moderate,Parking,Moderate,Moderate,"(Sales Manager, Software Developer, Consultant)",70000-180000
Kalyani Nagar,Gold Adlabs Area,Pune,Apartment,12500000,1500,3,8333,40000,8,6,Very High,Gym,Very High,Low,"(Investment Banker, Senior Consultant, Business Owner)",200000-600000
Magarpatta,Near DC Office,Pune,Apartment,11000000,1400,3,7857,35000,7,6,Very High,Gated Security,Very High,Low,"(Corporate Executive, IT Director, Business Owner)",200000-600000
Dhanori,DY Patil College Road,Pune,Apartment,7500000,1200,3,6250,20000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Mundhwa,Keshav Nagar,Pune,Apartment,10500000,1400,3,7500,32000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur)",100000-300000
Vadgaon Sheri,Near Nagar Road,Pune,Apartment,9700000,1300,3,7462,28000,6,5,High,Gated Security,High,Low,"(IT Professional, Financial Analyst, Marketing Manager)",100000-300000
Lohegaon,Near Airport Road,Pune,Apartment,6200000,1100,3,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Retail Manager, HR Executive, Civil Engineer)",70000-180000
Katraj,Balaji Nagar,Pune,Apartment,5800000,1050,2,5524,15000,4,3,Moderate,Gym,Moderate,Moderate,"(Teacher, Nurse, Store Manager)",50000-120000
Nanded City,Nanded Bridge Area,Pune,Apartment,9000000,1400,3,6429,25000,6,5,High,Gated Community,High,Low,"(IT Consultant, Marketing Director, Engineer)",100000-250000
Hadapsar,Magarpatta Road,Pune,Apartment,8700000,1200,3,7250,25000,6,5,High,Gym,High,Low,"(Doctor, Consultant, Real Estate Agent)",100000-500000
Shivaji Nagar,Jangli Maharaj Road,Pune,Apartment,19500000,1600,3,12188,50000,9,8,Very High,Clubhouse,Very High,Low,"(Lawyer, Professor, Senior Business Consultant)",200000-700000
Sinhagad Road,Near Navale Bridge,Pune,Apartment,6500000,1100,3,5909,18000,4,3,Moderate,Gym,Moderate,Moderate,"(Bank Employee, Teacher, Civil Engineer)",60000-150000
Kondhwa,Salunke Vihar,Pune,Apartment,7800000,1200,3,6500,20000,5,4,Moderate,Security,Moderate,Moderate,"(Small Business Owner, Software Engineer, HR Professional)",80000-200000
Shivajinagar,Model Colony,Pune,Apartment,14500000,1350,3,10741,42000,8,7,Very High,Gated Community,Very High,Low,"(Lawyer, Investment Banker, Professor)",180000-600000
Kondhwa,NIBM Road,Pune,Apartment,9800000,1400,3,7000,27000,6,5,High,Gym,High,Low,"(Software Engineer, HR Manager, Digital Marketer)",100000-300000
Lohegaon,Airport Road,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Pilot, Air Traffic Controller, Security Analyst)",70000-250000
BT Kawade Road,Ganga Satellite,Pune,Apartment,11500000,1300,3,8846,35000,7,6,Very High,Clubhouse,Very High,Low,"(IT Consultant, Senior Analyst, Doctor)",150000-450000
Warje,Atul Nagar,Pune,Apartment,7600000,1200,2,6333,22000,5,4,Moderate,Security,Moderate,Moderate,"(Teacher, Sales Manager, Architect)",60000-180000
Vadgaon Budruk,Sinhagad Road,Pune,Apartment,8500000,1300,3,6538,25000,6,5,High,Gated Society,High,Low,"(Finance Executive, Consultant, Lawyer)",80000-250000
Pashan,Pashan Sus Road,Pune,Apartment,11200000,1450,3,7724,33000,7,6,High,Clubhouse,High,Low,"(Professor, Data Scientist, Entrepreneur)",150000-500000
Bhugaon,Near Manas Lake,Pune,Apartment,9500000,1400,3,6785,28000,5,4,Moderate,Parking,Moderate,Moderate,"(Bank Manager, Investment Advisor, Consultant)",90000-300000
Chakan,Chakan MIDC,Pune,Apartment,7800000,1200,3,6500,22000,5,4,Moderate,Gated Security,Moderate,Moderate,"(Factory Manager, Engineer, Technician)",70000-200000
Talegaon Dabhade,Near Talegaon Station,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Mechanical Engineer, Logistic Manager, Teacher)",50000-150000
Lonavala,Tungarli,Lonavala,Villa,28500000,4000,5,7125,95000,9,8,Very High,Swimming Pool,Very High,Low,"(Entrepreneur, Hotelier, Bollywood Executive)",500000+
Kamshet,Kamshet Hills,Pune,Villa,31000000,4200,5,7381,98000,8,7,Very High,Gym,Very High,Low,"(Retired Industrialist, Investor, Director)",500000+
Charoli,Near DY Patil College,Pune,Apartment,5600000,1000,2,5600,15000,3,2,Moderate,Security,Moderate,Moderate,"(Student, IT Trainee, Freelancer)",30000-100000
Bhosari,Indrayani Nagar,Pune,Apartment,6800000,1100,2,6182,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Factory Worker, Supervisor, Shop Owner)",50000-150000
Alandi,Dehu Phata,Pune,Apartment,6200000,1050,2,5905,16000,4,3,Moderate,Security,Moderate,Moderate,"(Priest, Shopkeeper, Event Organizer)",50000-120000
Pimpri,Sant Tukaram Nagar,Pune,Apartment,7800000,1250,3,6240,22000,6,4,Moderate,Gym,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor)",60000-140000
Chinchwad,Chapekar Chowk,Pune,Apartment,9200000,1250,3,7360,27000,6,5,High,Gated Community,High,Low,"(IT Manager, Financial Analyst, Professor)",80000-200000
Nigdi,Pradhikaran,Pune,Apartment,8900000,1200,3,7417,26000,5,4,High,Gated Society,High,Low,"(Retail Manager, HR Executive, Civil Engineer)",70000-180000
Katraj,Katraj Dairy Area,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Business Owner, Pharmacist, Fitness Trainer)",70000-200000
Kondhwa,Kausar Baug,Pune,Apartment,9800000,1300,3,7538,27000,6,5,High,Gated Society,High,Low,"(Doctor, Digital Marketer, Business Consultant)",100000-300000
Wanowrie,Salunke Vihar Road,Pune,Apartment,10500000,1400,3,7500,30000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur)",100000-300000
Saswad,Near Purandar Fort,Pune,Villa,22000000,3800,5,5789,75000,8,7,High,Garden,High,Low,"(Retired Professional, Politician, Environmentalist)",300000+
Uruli Kanchan,Near Railway Station,Pune,Apartment,5400000,950,2,5684,14000,3,2,Moderate,Gated Society,Moderate,Moderate,"(Shop Owner, Agri Consultant, Technician)",40000-120000
Yewalewadi,Near Katraj,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Construction Worker, Mechanic, Teacher)",50000-150000
Dighi,Near Dighi Hills,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Manjari,Near Manjari Stud Farm,Pune,Apartment,8700000,1200,3,7250,25000,6,5,High,Gym,High,Low,"(Doctor, Consultant, Real Estate Agent)",100000-500000
Shirwal,Near Khandala MIDC,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Industrial Worker, Store Manager, IT Support)",60000-150000
Phursungi,Near Hadapsar,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Bavdhan,Near Chandni Chowk,Pune,Apartment,10500000,1400,3,7500,30000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur)",100000-300000
Mulshi,Near Pirangut,Pune,Villa,28000000,4200,5,6667,95000,9,8,Very High,Swimming Pool,Very High,Low,"(Hotel Owner, Film Producer, CEO)",500000+
Lavasa,Lakeside Area,Pune,Villa,35000000,5000,6,7000,120000,9,8,Very High,Private Dock,Very High,Low,"(Business Tycoon, Investor, Diplomat)",600000+
Shivajinagar,Model Colony,Pune,Apartment,14500000,1350,3,10741,42000,8,7,Very High,Gated Community,Very High,Low,"(Lawyer, Investment Banker, Professor)",180000-600000
Kondhwa,NIBM Road,Pune,Apartment,9800000,1400,3,7000,27000,6,5,High,Gym,High,Low,"(Software Engineer, HR Manager, Digital Marketer)",100000-300000
Lohegaon,Airport Road,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Pilot, Air Traffic Controller, Security Analyst)",70000-250000
BT Kawade Road,Ganga Satellite,Pune,Apartment,11500000,1300,3,8846,35000,7,6,Very High,Clubhouse,Very High,Low,"(IT Consultant, Senior Analyst, Doctor)",150000-450000
Warje,Atul Nagar,Pune,Apartment,7600000,1200,2,6333,22000,5,4,Moderate,Security,Moderate,Moderate,"(Teacher, Sales Manager, Architect)",60000-180000
Vadgaon Budruk,Sinhagad Road,Pune,Apartment,8500000,1300,3,6538,25000,6,5,High,Gated Society,High,Low,"(Finance Executive, Consultant, Lawyer)",80000-250000
Pashan,Pashan Sus Road,Pune,Apartment,11200000,1450,3,7724,33000,7,6,High,Clubhouse,High,Low,"(Professor, Data Scientist, Entrepreneur)",150000-500000
Bhugaon,Near Manas Lake,Pune,Apartment,9500000,1400,3,6785,28000,5,4,Moderate,Parking,Moderate,Moderate,"(Bank Manager, Investment Advisor, Consultant)",90000-300000
Chakan,Chakan MIDC,Pune,Apartment,7800000,1200,3,6500,22000,5,4,Moderate,Gated Security,Moderate,Moderate,"(Factory Manager, Engineer, Technician)",70000-200000
Talegaon Dabhade,Near Talegaon Station,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Mechanical Engineer, Logistic Manager, Teacher)",50000-150000
Lonavala,Tungarli,Lonavala,Villa,28500000,4000,5,7125,95000,9,8,Very High,Swimming Pool,Very High,Low,"(Entrepreneur, Hotelier, Bollywood Executive)",500000+
Kamshet,Kamshet Hills,Pune,Villa,31000000,4200,5,7381,98000,8,7,Very High,Gym,Very High,Low,"(Retired Industrialist, Investor, Director)",500000+
Charoli,Near DY Patil College,Pune,Apartment,5600000,1000,2,5600,15000,3,2,Moderate,Security,Moderate,Moderate,"(Student, IT Trainee, Freelancer)",30000-100000
Bhosari,Indrayani Nagar,Pune,Apartment,6800000,1100,2,6182,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Factory Worker, Supervisor, Shop Owner)",50000-150000
Alandi,Dehu Phata,Pune,Apartment,6200000,1050,2,5905,16000,4,3,Moderate,Security,Moderate,Moderate,"(Priest, Shopkeeper, Event Organizer)",50000-120000
Pimpri,Sant Tukaram Nagar,Pune,Apartment,7800000,1250,3,6240,22000,6,4,Moderate,Gym,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor)",60000-140000
Chinchwad,Chapekar Chowk,Pune,Apartment,9200000,1250,3,7360,27000,6,5,High,Gated Community,High,Low,"(IT Manager, Financial Analyst, Professor)",80000-200000
Nigdi,Pradhikaran,Pune,Apartment,8900000,1200,3,7417,26000,5,4,High,Gated Society,High,Low,"(Retail Manager, HR Executive, Civil Engineer)",70000-180000
Katraj,Katraj Dairy Area,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Business Owner, Pharmacist, Fitness Trainer)",70000-200000
Kondhwa,Kausar Baug,Pune,Apartment,9800000,1300,3,7538,27000,6,5,High,Gated Society,High,Low,"(Doctor, Digital Marketer, Business Consultant)",100000-300000
Wanowrie,Salunke Vihar Road,Pune,Apartment,10500000,1400,3,7500,30000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur)",100000-300000
Saswad,Near Purandar Fort,Pune,Villa,22000000,3800,5,5789,75000,8,7,High,Garden,High,Low,"(Retired Professional, Politician, Environmentalist)",300000+
Uruli Kanchan,Near Railway Station,Pune,Apartment,5400000,950,2,5684,14000,3,2,Moderate,Gated Society,Moderate,Moderate,"(Shop Owner, Agri Consultant, Technician)",40000-120000
Yewalewadi,Near Katraj,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Construction Worker, Mechanic, Teacher)",50000-150000
Dighi,Near Dighi Hills,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Manjari,Near Manjari Stud Farm,Pune,Apartment,8700000,1200,3,7250,25000,6,5,High,Gym,High,Low,"(Doctor, Consultant, Real Estate Agent)",100000-500000
Shirwal,Near Khandala MIDC,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Industrial Worker, Store Manager, IT Support)",60000-150000
Phursungi,Near Hadapsar,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Bavdhan,Near Chandni Chowk,Pune,Apartment,10500000,1400,3,7500,30000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur)",100000-300000
Mulshi,Near Pirangut,Pune,Villa,28000000,4200,5,6667,95000,9,8,Very High,Swimming Pool,Very High,Low,"(Hotel Owner, Film Producer, CEO)",500000+
Lavasa,Lakeside Area,Pune,Villa,35000000,5000,6,7000,120000,9,8,Very High,Private Dock,Very High,Low,"(Business Tycoon, Investor, Diplomat)",600000+
Model Colony,Near Lakaki Road,Pune,Apartment,19500000,1700,3,11471,55000,9,8,Very High,Gated Security,Very High,Low,"(Doctor, Investment Banker, High Court Lawyer)",250000-800000
Deccan Gymkhana,Goodluck Chowk,Pune,Apartment,17800000,1650,3,10788,52000,9,8,Very High,Clubhouse,Very High,Low,"(Professor, Senior Journalist, Business Owner)",200000-700000
Deccan Gymkhana,Bhandarkar Road,Pune,Apartment,18200000,1700,3,10706,54000,9,8,Very High,Swimming Pool,Very High,Low,"(Advocate, Author, Consultant)",200000-600000
Sadashiv Peth,Appa Balwant Chowk,Pune,Apartment,12500000,1400,3,8929,35000,8,7,High,Gated Society,High,Low,"(Chartered Accountant, Sanskrit Scholar, Politician)",150000-500000
Parvati,Near Parvati Hill,Pune,Apartment,11500000,1350,3,8519,33000,7,6,High,Parking,High,Low,"(Researcher, Civil Engineer, Artist)",120000-400000
Swargate,Near ST Bus Stand,Pune,Apartment,10200000,1250,3,8160,29000,7,6,High,Gym,High,Low,"(Software Developer, Marketing Executive, Government Employee)",100000-350000
Katraj,Near Rajiv Gandhi Zoo,Pune,Apartment,7500000,1200,2,6250,21000,6,5,Moderate,Gated Security,Moderate,Moderate,"(IT Technician, Teacher, Freelance Designer)",60000-150000
NIBM,Kondhwa Road,Pune,Apartment,13500000,1450,3,9310,37000,7,6,High,Swimming Pool,High,Low,"(Entrepreneur, Architect, Senior Software Engineer)",150000-500000
Undri,Near Corinthians Club,Pune,Apartment,9800000,1300,3,7538,28000,6,5,High,Clubhouse,High,Low,"(Real Estate Agent, Financial Consultant, IT Manager)",100000-300000
Bibwewadi,Market Yard Road,Pune,Apartment,8900000,1250,3,7120,26000,6,5,High,Security,High,Low,"(Chartered Accountant, Doctor, Sales Manager)",100000-350000
Dhankawadi,Near Rajiv Gandhi IT Park,Pune,Apartment,7200000,1150,2,6261,19000,5,4,Moderate,Parking,Moderate,Moderate,"(IT Support, HR Manager, Bank Clerk)",60000-150000
Warje,Behind Sinhagad Institute,Pune,Apartment,8100000,1300,3,6231,23000,6,5,High,Gated Society,High,Low,"(Mechanical Engineer, Retail Manager, Interior Designer)",100000-250000
Dhayari,Near DSK Vishwa,Pune,Apartment,7400000,1250,3,5920,22000,5,4,Moderate,Gym,Moderate,Moderate,"(Government Employee, Lecturer, Business Consultant)",80000-200000
Vadgaon Budruk,Near Sinhagad Road,Pune,Apartment,7800000,1200,3,6500,23000,6,5,Moderate,Security,Moderate,Moderate,"(Automobile Engineer, Marketing Professional, Teacher)",70000-180000
Manjri,Near Manjri Greens,Pune,Apartment,6600000,1100,2,6000,17500,4,3,Moderate,Parking,Moderate,Moderate,"(Freelancer, Accountant, IT Trainee)",50000-150000
Lohegaon,Near Pune Airport,Pune,Apartment,8000000,1250,3,6400,24000,5,4,High,Gated Security,High,Low,"(Pilot, Airport Staff, Software Engineer)",100000-300000
Charholi,Near Alandi Road,Pune,Apartment,6700000,1200,2,5583,18000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Pharmacist, IT Technician, Consultant)",70000-200000
Kondhwa,Near ISKCON Temple,Pune,Apartment,10200000,1350,3,7556,29000,7,6,High,Clubhouse,High,Low,"(Software Developer, Marketing Executive, Real Estate Agent)",100000-350000
Handewadi,Near SP Infocity,Pune,Apartment,7300000,1150,2,6348,19500,5,4,Moderate,Security,Moderate,Moderate,"(IT Support, Lecturer, Graphic Designer)",60000-150000
Fursungi,Near Hadapsar Industrial Area,Pune,Apartment,6200000,1050,2,5905,16000,4,3,Moderate,Parking,Moderate,Moderate,"(Mechanical Engineer, HR Executive, Factory Supervisor)",50000-120000
Khed,Near Chakan MIDC,Pune,Apartment,6500000,1100,2,5909,17000,4,3,Moderate,Gated Society,Moderate,Moderate,"(Manufacturing Engineer, Logistics Manager, Factory Owner)",60000-150000
Pimpri,Pimpri Chowk,Pune,Apartment,9200000,1300,3,7077,27000,6,5,High,Gated Community,High,Low,"(Sales Manager, IT Manager, Consultant)",100000-300000
Chinchwad,Opposite Elpro Mall,Pune,Apartment,8800000,1250,3,7040,26000,6,5,High,Gym,High,Low,"(Software Engineer, IT Consultant, Senior Analyst)",100000-300000
Talegaon,Dabhade,Pune,Apartment,6500000,1100,2,5909,17000,4,3,Moderate,Parking,Moderate,Moderate,"(Automobile Engineer, Marketing Manager, Retail Executive)",60000-150000
Alandi,Near Alandi Temple,Pune,Apartment,5900000,1000,2,5900,15000,4,3,Moderate,Gated Security,Moderate,Moderate,"(Priest, Teacher, Civil Engineer)",50000-120000
Bhosari,Near Nashik Highway,Pune,Apartment,7400000,1200,3,6167,22000,5,4,Moderate,Security,Moderate,Moderate,"(Industrialist, Mechanical Engineer, Consultant)",80000-250000
Lavasa,Lakeside Road,Pune,Villa,37000000,5500,5,6727,130000,9,8,Very High,Swimming Pool,Very High,Low,"(International Businessman, Hotel Owner, Politician)",700000+
Lonavala,Near Bhushi Dam,Pune,Villa,45000000,6000,6,7500,150000,10,9,Very High,Garden,Very High,Low,"(Bollywood Actor, Hotelier, Sports Personality)",1000000+
Kamshet,Near Pawna Lake,Pune,Villa,28000000,4500,5,6222,95000,9,8,High,Swimming Pool,High,Low,"(Corporate Executive, Business Owner, Influencer)",400000+
Shivajinagar,Jangali Maharaj Road,Pune,Apartment,19500000,1750,3,11143,55000,9,8,Very High,Clubhouse,Very High,Low,"(Judge, Professor, Senior Engineer)",250000-800000
Erandwane,Near Nal Stop,Pune,Apartment,17500000,1600,3,10938,50000,9,8,Very High,Gated Security,Very High,Low,"(Senior Lawyer, Architect, Doctor)",200000-700000
Kothrud,Paud Road,Pune,Apartment,14000000,1500,3,9333,38000,8,7,High,Gym,High,Low,"(Senior IT Consultant, Business Owner, Chartered Accountant)",150000-600000
Kothrud,MIT College Road,Pune,Apartment,13500000,1450,3,9310,37000,7,6,High,Swimming Pool,High,Low,"(Professor, Scientist, Research Analyst)",150000-500000
Sinhagad Road,Manik Baug,Pune,Apartment,9800000,1350,3,7259,28000,6,5,High,Gated Society,High,Low,"(Marketing Executive, Government Officer, IT Manager)",100000-300000
